epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,13461.2,1.00246,0.75608,1.40565,0.89538,0.89727,0.8885,0.56678,1.28177,0.54832,2.1102,0.000134009,0.000134009,0.000134009
145,13679.1,1.00113,0.76064,1.40342,0.89532,0.89732,0.88835,0.56759,1.28008,0.54807,2.11018,0.000129767,0.000129767,0.000129767
146,13896.9,1.00308,0.75088,1.40597,0.89584,0.89767,0.88872,0.56762,1.27849,0.5476,2.11096,0.00012558,0.00012558,0.00012558
147,14115.3,1.00094,0.75862,1.40519,0.89505,0.89617,0.88796,0.56819,1.27653,0.54739,2.11098,0.000121448,0.000121448,0.000121448
148,14333.1,0.99511,0.75692,1.40086,0.89375,0.89636,0.88795,0.5692,1.27425,0.54714,2.11037,0.000117373,0.000117373,0.000117373
149,14550.8,0.9955,0.74863,1.39854,0.89437,0.8976,0.88789,0.56966,1.2728,0.5472,2.11089,0.000113356,0.000113356,0.000113356
150,14769.5,1.00198,0.75618,1.40642,0.89371,0.89781,0.8879,0.56967,1.27082,0.5461,2.11037,0.000109398,0.000109398,0.000109398
151,14987.4,1.00598,0.76245,1.41104,0.89381,0.89781,0.88742,0.56975,1.26883,0.54635,2.11024,0.0001055,0.0001055,0.0001055
152,15205.3,1.00365,0.76193,1.40659,0.89506,0.89727,0.88785,0.57087,1.26748,0.54625,2.11121,0.000101663,0.000101663,0.000101663
153,15423.8,0.99031,0.75231,1.39736,0.89525,0.89672,0.88713,0.57015,1.26567,0.54614,2.11104,9.78867e-05,9.78867e-05,9.78867e-05
154,15641.2,0.9943,0.75744,1.39978,0.89253,0.89672,0.88684,0.5714,1.26368,0.54681,2.11066,9.41735e-05,9.41735e-05,9.41735e-05
155,15859.4,0.98614,0.74055,1.39333,0.89274,0.89727,0.88743,0.57182,1.26189,0.54663,2.11025,9.05238e-05,9.05238e-05,9.05238e-05
156,16077.9,0.98774,0.74726,1.39328,0.89244,0.89773,0.88765,0.57211,1.26005,0.54634,2.10981,8.69386e-05,8.69386e-05,8.69386e-05
